alpha,D,n,trial,t_EFT,t_EST,t_SD,count_EFT,count_EST,count_SD
1.0,10,1024,5,0.0005576000039582141,0.0005131999932928011,0.0005728999967686832,681,663,9
1.0,10,1024,6,0.000622200001089368,0.0005564000020967796,0.0005410000012489036,653,638,7
1.0,10,1024,7,0.0006794000000809319,0.000571900003706105,0.0005311999993864447,674,649,5
1.0,10,1024,8,0.00056820000463631,0.0005321999997249804,0.0005166000046301633,684,670,2
1.0,10,1024,9,0.0005071999985375442,0.0005055000001448207,0.0004611000040313229,684,679,6
1.0,10,1024,10,0.0005440999957500026,0.00072340000042459,0.0005421000023488887,686,669,8
1.0,10,2048,1,0.0010881999987759627,0.0010747999986051582,0.0009834000011323951,1352,1315,8
1.0,10,2048,2,0.0010855000000447035,0.0010378000006312504,0.000989699998172,1355,1317,9
1.0,10,2048,3,0.0010140000013052486,0.0010273000007146038,0.0010416000004624948,1394,1361,11
1.0,10,2048,4,0.0010021999987657182,0.0010469999979250133,0.0011529999974300154,1366,1330,4
1.0,10,2048,5,0.0012347000010777265,0.0010962000014842488,0.001285000005736947,1355,1321,4
1.0,10,2048,6,0.001094899998861365,0.001072899998689536,0.0010745000035967678,1350,1324,7
1.0,10,2048,7,0.0011269000024185516,0.0010792999964905903,0.001068599995051045,1333,1294,11
1.0,10,2048,8,0.0010561000017332844,0.0010240999981760979,0.0009831000061240047,1353,1311,8
1.0,10,2048,9,0.0012806999948224984,0.001207000001159031,0.0010013999999500811,1351,1314,11
1.0,10,2048,10,0.001050400001986418,0.0012515999987954274,0.0011411000014049932,1375,1359,13
1.0,10,4096,1,0.0021634000004269183,0.002360999998927582,0.002040700004727114,2683,2612,8
1.0,10,4096,2,0.0024190999974962324,0.002129299995431211,0.0018943000031867996,2697,2620,11
1.0,10,4096,3,0.0020979999972041696,0.0021660999991581775,0.0020769999973708764,2706,2632,11
1.0,10,4096,4,0.0021601999978884123,0.002109000000928063,0.0021969000008539297,2711,2643,10
1.0,10,4096,5,0.0021743000033893622,0.0022945999953662977,0.002248799995868467,2711,2649,9
1.0,10,4096,6,0.0022533000010298565,0.0021723999961977825,0.0020030999949085526,2679,2615,10
1.0,10,4096,7,0.0024135999992722645,0.0022693000064464286,0.002091499998641666,2701,2649,14
1.0,10,4096,8,0.002169699997466523,0.0021863000001758337,0.0020523999992292374,2714,2659,10
1.0,10,4096,9,0.0021238999979686923,0.0021338000005926006,0.0020547999956761487,2703,2626,13
1.0,10,4096,10,0.00203719999990426,0.001986400005989708,0.002006000002438668,2701,2623,5
1.0,10,8192,1,0.004339799997978844,0.004603599998517893,0.0037604999961331487,5358,5229,9
1.0,10,8192,2,0.00453410000045551,0.004735499998787418,0.004119599994737655,5402,5271,9
1.0,10,8192,3,0.00417619999643648,0.004491300001973286,0.0037222000028123148,5397,5260,13
1.0,10,8192,4,0.004514300002483651,0.004302000001189299,0.0037331999992602505,5420,5286,6
1.0,10,8192,5,0.004637400001229253,0.0046091999975033104,0.00397289999818895,5416,5286,8
1.0,10,8192,6,0.004387100001622457,0.004663599997002166,0.004743800003780052,5432,5284,10
1.0,10,8192,7,0.004559400003927294,0.00473259999853326,0.004107499997189734,5415,5274,12
